Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Abercr Ft 1,469.487500,,0.000000,DTCS,88.5,88.5,546,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
1,Abercr Ft 2,467.850000,,0.000000,DTCS,88.5,88.5,412,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
2,Abercr Ft 3,467.850000,,0.000000,DTCS,88.5,88.5,546,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
3,Ace Hardware,464.550000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
4,Aeropostale,467.875000,,0.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
5,Aldi,467.875000,,0.000000,DTCS,88.5,88.5,612,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
6,Amer Eag G,467.762500,,0.000000,Tone,179.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
7,Amer Eag H,467.812500,,0.000000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
8,Ann Taylor,464.562500,,0.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
9,Ann Taylor L,466.037500,,0.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
10,Auntie Annes,461.112500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
11,Banana Rep X,158.400000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
12,Banana Rep Y,151.835000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
