Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,GMRS,140.000000,off,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
1,GMRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
2,GMRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
3,GMRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
4,GMRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
5,GMRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
6,GMRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
7,GMRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
8,GMRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
9,GMRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
10,GMRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
11,GMRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
12,GMRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
13,GMRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
14,GMRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
15,GMRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
16,GMRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
17,GMRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
18,GMRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
19,GMRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
20,GMRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
21,GMRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
22,GMRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
24,FRS,140.000000,off,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
25,FRS 1,462.562500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
26,FRS 2,462.587500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
27,FRS 3,462.612500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
28,FRS 4,462.637500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
29,FRS 5,462.662500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
30,FRS 6,462.687500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
31,FRS 7,462.712500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
32,FRS 8,467.562500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,,,,,
33,FRS 9,467.587500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,,,,,
34,FRS 10,467.612500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,,,,,
35,FRS 11,467.637500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,,,,,
36,FRS 12,467.662500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,,,,,
37,FRS 13,467.687500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,,,,,
38,FRS 14,467.712500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,,,,,
39,FRS 15,462.550000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
40,FRS 16,462.575000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
41,FRS 17,462.600000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
42,FRS 18,462.625000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
43,FRS 19,462.650000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
44,FRS 20,462.675000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
45,FRS 21,462.700000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
46,FRS 22,462.725000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,2.0W,,,,,
48,Calling Bands,140.000000,off,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
49,6m Call,52.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
50,2m Call,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
51,70cm Call,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
52,33cm Call,904.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
53,23cm Call,1294.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
54,13cm Call,2305.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
56,APRS,144.390000,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
58,MURS,140.000000,off,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
59,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
60,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
61,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
62,MURS 4,154.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
63,MURS 5,154.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
65,Baofeng 888s,140.000000,off,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
66,CH 1,462.125000,,0.000000,TSQL,88.5,69.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
67,CH 2,462.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
68,CH 3,462.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
69,CH 4,462.425000,,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
70,CH 5,462.525000,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
71,CH 6,462.625000,,0.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
72,CH 7,462.725000,,0.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
73,CH 8,462.825000,,0.000000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
74,CH 9,462.925000,,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
75,CH 10,463.025000,,0.000000,DTCS,88.5,88.5,051,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
76,CH 11,463.125000,,0.000000,DTCS,88.5,88.5,125,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
